<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20/10/22,09:00:00,0.9777800,0.9789200,0.9772700,0.9783400,134368
20/10/22,10:00:00,0.9783400,0.9794200,0.9776800,0.9792000,145387
20/10/22,11:00:00,0.9792000,0.9794700,0.9768900,0.9786500,213061
20/10/22,12:00:00,0.9786200,0.9792300,0.9771400,0.9780700,160714
20/10/22,13:00:00,0.9781200,0.9789200,0.9771000,0.9782800,122298
20/10/22,14:00:00,0.9783100,0.9807200,0.9774400,0.9806700,141321
20/10/22,15:00:00,0.9806700,0.9829100,0.9799400,0.9812700,170978
20/10/22,16:00:00,0.9812100,0.9837500,0.9793600,0.9802400,248997
20/10/22,17:00:00,0.9802400,0.9808600,0.9777600,0.9785900,266917
20/10/22,18:00:00,0.9786100,0.9845600,0.9780800,0.9843800,275214
20/10/22,19:00:00,0.9844400,0.9845000,0.9818800,0.9822100,159134
20/10/22,20:00:00,0.9822200,0.9822700,0.9795300,0.9802700,145211
20/10/22,21:00:00,0.9802100,0.9802900,0.9778600,0.9784900,153844
20/10/22,22:00:00,0.9784900,0.9787900,0.9772500,0.9783000,126985
20/10/22,23:00:00,0.9784500,0.9789700,0.9771000,0.9783900,103583
21/10/22,00:00:00,0.9783500,0.9789100,0.9779000,0.9785100,41048
21/10/22,01:00:00,0.9784000,0.9788000,0.9776000,0.9784200,10190
21/10/22,02:00:00,0.9782900,0.9789100,0.9779100,0.9782700,31084
21/10/22,03:00:00,0.9782200,0.9783200,0.9771000,0.9777800,42025
21/10/22,04:00:00,0.9778600,0.9782400,0.9765700,0.9770500,87769
21/10/22,05:00:00,0.9770500,0.9772900,0.9762600,0.9770200,97651
21/10/22,06:00:00,0.9770200,0.9780300,0.9765300,0.9776200,74924
21/10/22,07:00:00,0.9776200,0.9783400,0.9764800,0.9768400,70919
21/10/22,08:00:00,0.9768200,0.9771600,0.9762200,0.9770800,64648
21/10/22,09:00:00,0.9770800,0.9776600,0.9761200,0.9775500,78910
21/10/22,10:00:00,0.9775100,0.9777700,0.9759100,0.9765700,141762
21/10/22,11:00:00,0.9765700,0.9802400,0.9758800,0.9788600,197123
21/10/22,12:00:00,0.9788500,0.9790800,0.9750900,0.9755800,164240
21/10/22,13:00:00,0.9755800,0.9763500,0.9732900,0.9740200,160481
21/10/22,14:00:00,0.9740500,0.9753800,0.9730100,0.9749400,144547
21/10/22,15:00:00,0.9749100,0.9759400,0.9738700,0.9744900,168104
21/10/22,16:00:00,0.9744900,0.9777500,0.9703000,0.9757600,258280
21/10/22,17:00:00,0.9757200,0.9807400,0.9749100,0.9797300,488309
21/10/22,18:00:00,0.9797300,0.9817200,0.9763000,0.9796900,431618
21/10/22,19:00:00,0.9796900,0.9856500,0.9777400,0.9854500,419324
21/10/22,20:00:00,0.9854100,0.9868000,0.9823000,0.9838500,329905
21/10/22,21:00:00,0.9838500,0.9848700,0.9826100,0.9829200,188969
21/10/22,22:00:00,0.9829200,0.9852700,0.9821800,0.9843400,168827
21/10/22,23:00:00,0.9844000,0.9869200,0.9841000,0.9861400,152181
22/10/22,00:00:00,0.9860800,0.9866200,0.9855000,0.9861300,61198
